model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Multinomial Naive Bayes,0.8118123914302259,0.8350293362493277,0.8094842001141312,0.8109070094930934,0.810692515539592
Linear SVM C Tuned,0.9328314997104806,0.9331152560266773,0.9336309921013847,0.9330369969397961,0.9323940654946524
