model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Multinomial Naive Bayes,0.8118123914302259,0.8350293362493277,0.8094842001141312,0.8109070094930934,0.810692515539592
Linear SVM,0.9322524609148813,0.9324953132481619,0.9329451798524607,0.9324391868278846,0.9318386911796677
