param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_svm__C,mean_train_macro_f1,std_train_macro_f1,mean_test_macro_f1,std_test_macro_f1,mean_test_accuracy,mean_test_macro_precision,mean_test_macro_recall,mean_test_weighted_f1,train_cv_gap,mean_fit_time,std_fit_time,rank_test_macro_f1
"(1, 2)",3,0.9,2.0,1.0,0.0,0.9142217211962343,0.004606496323540527,0.9142905946004856,0.9147906408607446,0.9149912175783591,0.9136627273187383,0.08577827880376565,22.51952772140503,1.1457048747229037,18
"(1, 2)",3,0.9,1.0,0.999308007780716,0.00010749903651186693,0.9116143780252971,0.005728352354440858,0.9118295536592853,0.9123249742028119,0.9124902564005509,0.9111092756340715,0.08769362975541894,19.6956506729126,0.9164451961084076,19
"(1, 2)",2,1.0,1.0,0.9993423519836344,6.714446692606855e-05,0.9116001044724067,0.0058339770680466965,0.9118296584513205,0.9122800172715404,0.9125048595939986,0.9110926069522515,0.08774224751122772,18.56941728591919,0.3020894436201496,20
"(1, 2)",5,0.9,1.0,0.999308007780716,0.00010749903651186693,0.9114820444654275,0.005982406004581894,0.9116848358589961,0.912145094286241,0.9123743605602679,0.9109588056858662,0.08782596331528858,19.419784688949584,0.8646490365551464,21
"(1, 2)",3,1.0,1.0,0.9993423519836344,6.714446692606855e-05,0.911439806557887,0.005770545015338175,0.9116848358589961,0.9121097961347834,0.9123619738768556,0.9109323621767068,0.08790254542574738,19.014625692367552,0.39394247157907486,22
"(1, 2)",2,0.9,1.0,0.999308007780716,0.00010749903651186693,0.9113417379141657,0.005630576950939231,0.9115400132666716,0.9120705249183156,0.9122219741625983,0.9108185999426203,0.08796626986655032,18.5468656539917,0.48600262649503023,23
"(1, 2)",5,1.0,1.0,0.9993061904228515,0.00011041671522164219,0.9113403307592455,0.006087391067185568,0.9115401180587066,0.9120116313126141,0.912232498862205,0.91081758809165,0.08796585966360604,19.259842109680175,0.5317305737951522,24
"(1, 2)",3,0.95,1.0,0.9993423519836344,6.714446692606855e-05,0.9113282345703547,0.006005750488880329,0.9115401180587066,0.9120229749191182,0.9122219741625983,0.9108122672681851,0.08801411741327969,18.815671491622926,0.4840901347243999,25
"(1, 2)",2,0.95,1.0,0.999308007780716,0.00010749903651186693,0.9113282345703547,0.006005750488880329,0.9115401180587066,0.9120229749191182,0.9122219741625983,0.9108122672681851,0.08797977321036132,19.650251865386963,1.6669250935838884,25
"(1, 2)",5,0.95,1.0,0.9993423519836344,6.714446692606855e-05,0.9110268102348419,0.005788951524088529,0.9112505776660929,0.911687655020286,0.9119457605574104,0.9105059438965029,0.08831554174879253,19.550101280212402,1.0927000564408487,27
